thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
4.02,0.55,38.94,19.67,-4.56,-13.2,4.5,3.37,-19.44,-9.87,1.01,0.76,-14.5,57.49,89.89,67.41,-18.52,55.24,87.97,65.98
4.52,0.8,38.89,19.69,-4.58,-12.41,4.51,3.38,-19.32,-9.31,1.01,0.76,-14.47,57.53,89.89,67.41,-18.43,55.58,87.97,65.98
4.56,0.83,38.78,19.74,-4.51,-12.65,4.51,3.38,-19.27,-9.31,1.01,0.76,-14.42,57.86,90.01,67.51,-18.41,55.58,88,66
4.82,0.95,38.48,19.78,-4.39,-12.43,4.51,3.38,-19.1,-9.06,1.03,0.77,-14.35,57.85,89.92,67.44,-18.35,55.71,88,66
4.92,1.09,38.48,19.98,-4.36,-12.31,4.51,3.38,-19.05,-9,1.03,0.77,-14.33,57.81,89.89,67.41,-18.33,55.75,88,66
5.06,1.1,38.27,20.01,-4.37,-12.25,4.51,3.38,-19,-8.95,1.03,0.77,-14.3,57.78,89.82,67.37,-18.3,55.77,87.99,65.99
5.29,0.94,38.17,20.06,-4.49,-11.96,4.51,3.38,-19.05,-8.73,1.01,0.76,-14.35,57.62,89.89,67.41,-18.28,55.86,87.95,65.96
5.36,0.8,38.18,20.03,-4.55,-11.91,4.51,3.38,-19.08,-8.58,1.03,0.77,-14.39,57.42,89.89,67.41,-18.27,55.85,87.74,65.8
5.41,0.78,38.17,20.03,-4.58,-11.87,4.51,3.38,-19.06,-8.49,1.01,0.76,-14.39,57.42,89.76,67.32,-18.25,55.82,87.63,65.73
5.39,0.77,38.17,20.03,-4.63,-11.92,4.51,3.38,-19.07,-8.49,1.01,0.76,-14.4,57.41,89.7,67.27,-18.24,55.76,87.54,65.66
5.46,0.75,38.17,20.05,-4.68,-11.8,4.5,3.37,-19.08,-8.42,1.01,0.75,-14.4,57.52,89.69,67.27,-18.23,55.77,87.5,65.63
5.63,0.75,38.17,19.99,-4.74,-11.52,4.5,3.37,-19.11,-8.24,1.01,0.75,-14.43,57.5,89.76,67.32,-18.22,55.9,87.53,65.65
5.62,0.7,38.07,20.01,-4.72,-11.48,4.5,3.37,-19.07,-8.26,1.01,0.75,-14.42,57.25,89.7,67.27,-18.21,55.83,87.56,65.67
5.55,0.73,38.07,20.01,-4.74,-11.47,4.5,3.37,-19.07,-8.31,1.01,0.75,-14.41,57.33,89.76,67.32,-18.2,55.77,87.66,65.74
5.69,0.74,38.07,19.95,-4.74,-11.19,4.5,3.37,-19.05,-8.12,1.01,0.75,-14.43,57.13,89.76,67.32,-18.19,55.83,87.62,65.72
5.73,0.77,38.07,20.01,-4.68,-11.14,4.5,3.37,-19,-8.05,1.01,0.75,-14.41,57.07,89.76,67.32,-18.18,55.81,87.59,65.69
5.78,0.7,37.98,20,-4.69,-11.04,4.5,3.38,-18.99,-8.04,1.01,0.75,-14.41,57.01,89.76,67.32,-18.18,55.79,87.69,65.77
5.79,0.69,37.98,19.92,-4.77,-11.02,4.5,3.37,-19.02,-8.03,1.01,0.75,-14.44,56.84,89.7,67.27,-18.18,55.77,87.72,65.79
5.73,0.66,37.98,19.89,-4.83,-11.03,4.5,3.37,-19.08,-8.1,1.01,0.75,-14.46,56.89,89.63,67.23,-18.19,55.73,87.68,65.76
5.81,0.67,37.98,19.89,-4.85,-10.84,4.5,3.37,-19.08,-8.02,1.01,0.75,-14.46,57.05,89.63,67.22,-18.19,55.81,87.71,65.78
5.96,0.6,37.86,19.89,-4.85,-10.6,4.5,3.37,-19.04,-7.87,1.01,0.75,-14.44,57.14,89.63,67.23,-18.15,55.82,87.75,65.81
6.14,0.52,37.75,19.78,-4.83,-10.39,4.5,3.37,-19.01,-7.74,1.01,0.75,-14.44,56.97,89.66,67.25,-18.13,55.87,87.78,65.83
6.12,0.41,37.67,19.75,-4.88,-10.37,4.49,3.37,-19.04,-7.75,1.01,0.75,-14.46,56.93,89.76,67.32,-18.14,55.85,87.87,65.9
6.11,0.4,37.72,19.68,-4.93,-10.34,4.5,3.38,-19.07,-7.69,1.01,0.75,-14.49,56.89,89.66,67.25,-18.14,55.82,87.83,65.87
6.12,0.39,37.72,19.68,-4.94,-10.31,4.49,3.37,-19.06,-7.58,1.01,0.75,-14.47,57.06,89.6,67.2,-18.14,55.81,87.79,65.84
6.18,0.38,37.67,19.75,-4.9,-10.2,4.49,3.37,-19.03,-7.48,1.01,0.75,-14.44,57.4,89.51,67.13,-18.12,55.82,87.82,65.87
6.17,0.46,37.77,19.58,-4.87,-10.21,4.5,3.37,-19,-7.48,1,0.75,-14.44,57.16,89.57,67.18,-18.13,55.79,87.85,65.88
6.17,0.39,37.67,19.75,-4.87,-10.19,4.5,3.37,-19,-7.47,1,0.75,-14.45,57.08,89.57,67.18,-18.13,55.74,87.87,65.91
6.16,0.39,37.67,19.69,-4.88,-10.2,4.51,3.38,-19.04,-7.46,1,0.75,-14.47,57.06,89.57,67.18,-18.12,55.74,87.84,65.88
6.17,0.38,37.67,19.67,-4.89,-10.22,4.5,3.38,-19.05,-7.44,1,0.75,-14.48,57.04,89.51,67.13,-18.13,55.73,87.86,65.9
6.16,0.35,37.67,19.61,-4.91,-10.22,4.49,3.37,-19.06,-7.46,1,0.75,-14.51,56.78,89.51,67.13,-18.16,55.76,87.89,65.92
6.18,0.3,37.67,19.61,-4.91,-10.25,4.5,3.37,-19.09,-7.49,1,0.75,-14.49,57.17,89.44,67.08,-18.14,55.77,87.93,65.94
6.18,0.29,37.67,19.61,-4.93,-10.31,4.52,3.39,-19.12,-7.49,1,0.75,-14.52,56.96,89.38,67.04,-18.14,55.72,87.95,65.96
6.18,0.28,37.67,19.61,-4.92,-10.31,4.52,3.39,-19.12,-7.5,1,0.75,-14.52,56.89,89.38,67.04,-18.15,55.7,87.92,65.94
6.16,0.24,37.67,19.61,-4.96,-10.31,4.53,3.4,-19.14,-7.51,1,0.75,-14.53,56.88,89.38,67.04,-18.16,55.7,87.95,65.96
6.16,0.24,37.67,19.58,-4.98,-10.32,4.53,3.4,-19.15,-7.49,1,0.75,-14.55,56.75,89.38,67.04,-18.16,55.67,87.99,65.99
6.14,0.23,37.67,19.58,-4.99,-10.36,4.53,3.4,-19.18,-7.54,1,0.75,-14.58,56.49,89.38,67.04,-18.17,55.63,88,66
6.14,0.22,37.67,19.61,-5,-10.36,4.53,3.4,-19.19,-7.55,1,0.75,-14.58,56.65,89.44,67.08,-18.17,55.65,87.99,66
6.14,0.2,37.67,19.58,-5.01,-10.36,4.53,3.4,-19.22,-7.55,0.99,0.74,-14.59,56.78,89.38,67.04,-18.17,55.66,88,66
