thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
25.18,51.56,0.33,0.04,0,89.62,79.16,59.37,-6.04,89.62,79.66,59.74,-12.61,89.6,89.99,67.5,-23.11,66.1,90.76,68.07
25.23,52.07,0.33,0.04,0,89.62,79.05,59.29,-6.04,89.62,79.45,59.59,-12.61,89.6,89.99,67.5,-23.13,66.12,90.76,68.07
25.41,52.26,0.33,0.05,0,89.62,78.5,58.87,-6.04,89.62,79.28,59.46,-12.61,89.6,89.86,67.4,-23.12,66.14,90.7,68.02
25.43,52.56,0.33,0.04,0,89.62,78.44,58.83,-6.04,89.52,79.17,59.37,-12.61,89.6,89.86,67.4,-23.16,66.18,90.7,68.02
25.56,52.65,0.33,0.05,0,89.62,78.32,58.74,-6.04,89.62,79.11,59.33,-12.61,89.6,89.86,67.4,-23.14,66.2,90.7,68.02
25.6,52.69,0.33,0.07,0,89.62,78.32,58.74,-6.04,89.62,79.11,59.33,-12.61,89.6,89.86,67.4,-23.14,66.34,90.76,68.07
25.58,52.69,0.33,0.07,0,89.62,78.62,58.97,-6.04,89.62,78.37,58.78,-12.61,89.6,89.8,67.35,-23.14,66.63,90.76,68.07
25.44,52.61,0.22,0.07,0,89.62,79.67,59.76,-6.04,89.62,78.42,58.82,-12.61,89.6,89.86,67.4,-23.17,66.75,90.7,68.02
25.4,52.59,0.22,0.07,0,89.62,79.61,59.71,-6.04,89.62,78.37,58.78,-12.61,89.6,89.73,67.3,-23.17,66.74,90.63,67.97
25.3,52.57,0.22,0.04,0,89.62,79.68,59.76,-6.04,89.62,78.59,58.95,-12.61,89.6,89.73,67.3,-23.17,66.79,90.63,67.97
25.1,52.76,0.22,0.03,0,89.62,79.68,59.76,-6.04,89.62,79.9,59.93,-12.61,89.6,89.7,67.28,-23.17,66.98,90.57,67.93
24.92,53.02,0.22,0.03,0,89.62,79.8,59.85,-6.04,89.62,82,61.5,-12.61,89.6,89.93,67.44,-23.18,67.17,90.63,67.97
24.84,52.98,0.22,0.04,0,89.62,79.73,59.8,-6.04,89.62,82,61.5,-12.61,89.6,89.86,67.4,-23.17,67.11,90.57,67.93
24.62,53.09,0.22,0.03,0,89.62,79.61,59.71,-6.04,89.62,81.65,61.23,-12.61,89.6,89.6,67.2,-23.22,67.16,90.5,67.88
24.57,53.12,0.22,0.05,0,89.62,79.52,59.64,-6.04,89.62,81.56,61.17,-12.61,89.6,89.67,67.25,-23.19,67.21,90.66,68
24.82,52.44,0.22,0.05,0,89.62,79.86,59.9,-6.04,89.62,81.5,61.13,-12.61,89.6,89.47,67.11,-23.2,67.23,90.6,67.95
26,51.5,0.22,0.05,0,89.62,80.66,60.49,-6.04,89.62,81.53,61.15,-12.61,89.6,89.77,67.33,-23.21,67.18,90.57,67.93
26.74,51.68,0.22,0.05,0,89.62,81.11,60.83,-6.04,89.62,81.29,60.97,-12.61,89.6,89.47,67.11,-23.19,67.07,90.5,67.87
26.76,52.04,0.22,0.06,0,89.62,80.89,60.67,-6.04,89.62,81.29,60.97,-12.61,89.6,89.47,67.11,-23.18,67.08,90.01,67.51
26.53,51.51,0.22,0.05,0,89.62,81.2,60.9,-6.04,89.62,81.23,60.92,-12.61,89.6,89.73,67.3,-23.21,67.06,90.13,67.6
26.55,51.36,0.22,0.03,0,89.62,81.26,60.95,-6.04,89.62,80.88,60.66,-12.61,89.6,89.77,67.32,-23.19,67.01,90.01,67.51
26.93,51.9,0.22,0.03,0,89.62,81.02,60.76,-6.04,89.62,80.82,60.62,-12.61,89.6,89.34,67.01,-23.21,67.04,89.82,67.37
27.25,52.62,0.22,0.04,0,89.62,80.89,60.67,-6.04,89.62,80.25,60.19,-12.61,89.6,89.34,67.01,-23.21,67.03,89.7,67.28
27.24,52.88,0.22,0.05,0,89.62,80.71,60.53,-6.04,89.62,80.18,60.13,-12.61,89.6,89.28,66.96,-23.18,66.99,89.82,67.37
27.15,52.96,0.22,0.05,0,89.62,80.76,60.57,-6.04,89.62,80.15,60.11,-12.61,89.6,89.34,67.01,-23.2,66.99,89.76,67.32
27.11,52.95,0.17,0.03,0,89.62,80.29,60.21,-6.04,89.62,80.04,60.03,-12.61,89.6,89.34,67.01,-23.18,66.95,89.76,67.32
27.05,52.97,0.22,0.05,0,89.62,80.29,60.21,-6.04,89.62,80.04,60.03,-12.61,89.6,89.34,67.01,-23.18,66.94,89.76,67.32
27.11,52.95,0.22,0.04,0,89.62,80.29,60.21,-6.04,89.62,80.04,60.03,-12.61,89.6,89.28,66.96,-23.18,66.96,89.76,67.32
27.03,52.94,0.22,0.05,0,89.62,80.29,60.21,-6.04,89.62,80.04,60.03,-12.61,89.6,89.21,66.91,-23.18,67.02,89.73,67.3
27.04,52.91,0.22,0.05,0,89.62,80.23,60.17,-6.04,89.62,80.09,60.07,-12.61,89.6,89.34,67.01,-23.18,67.03,89.7,67.27
27.12,52.95,0.22,0.05,0,89.62,80.26,60.19,-6.04,89.62,80.04,60.03,-12.61,89.6,89.28,66.96,-23.18,67.04,89.76,67.32
27.13,52.99,0.22,0.05,0,89.62,80.16,60.12,-6.04,89.62,80.04,60.03,-12.61,89.6,89.21,66.91,-23.16,67.04,89.64,67.23
27.11,53.08,0.22,0.05,0,89.62,80.04,60.03,-6.04,89.62,79.98,59.98,-12.61,89.6,89.21,66.91,-23.17,67.01,89.63,67.23
